condition,n_aggr_cores,trial,agg_bw_gbps,sf_evict_total,sf_evict_rate,sf_victim_retry,tor_drd_pref,pmu_raw
A,9,4,9.47,447774,89555.0,0,7053782828,"{""unc_cha_core_snp.evict_one"": 250666, ""unc_cha_core_snp.evict_gtone"": 197108, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 7053782828, ""unc_cha_tor_inserts.ia_drd"": 3406031619}"
A,9,5,9.45,720015,144003.0,0,6916850985,"{""unc_cha_core_snp.evict_one"": 466761, ""unc_cha_core_snp.evict_gtone"": 253254, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 6916850985, ""unc_cha_tor_inserts.ia_drd"": 3517043703}"
A,9,6,9.46,460659,92132.0,0,6996797746,"{""unc_cha_core_snp.evict_one"": 256058, ""unc_cha_core_snp.evict_gtone"": 204601, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 6996797746, ""unc_cha_tor_inserts.ia_drd"": 3449619144}"
A,9,7,9.43,834176,166835.0,0,6992955807,"{""unc_cha_core_snp.evict_one"": 496553, ""unc_cha_core_snp.evict_gtone"": 337623, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 6992955807, ""unc_cha_tor_inserts.ia_drd"": 3453494680}"
A,9,8,9.5,500289,100058.0,0,6946385370,"{""unc_cha_core_snp.evict_one"": 310288, ""unc_cha_core_snp.evict_gtone"": 190001, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 6946385370, ""unc_cha_tor_inserts.ia_drd"": 3536466586}"
A,9,9,9.42,529658,105932.0,0,6968796762,"{""unc_cha_core_snp.evict_one"": 316427, ""unc_cha_core_snp.evict_gtone"": 213231, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 6968796762, ""unc_cha_tor_inserts.ia_drd"": 3438498520}"
A,11,0,11.29,524062,104812.0,0,8568554149,"{""unc_cha_core_snp.evict_one"": 312774, ""unc_cha_core_snp.evict_gtone"": 211288, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 8568554149, ""unc_cha_tor_inserts.ia_drd"": 3892247146}"
A,11,1,11.22,615354,123071.0,0,8460295330,"{""unc_cha_core_snp.evict_one"": 386931, ""unc_cha_core_snp.evict_gtone"": 228423, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 8460295330, ""unc_cha_tor_inserts.ia_drd"": 3929447983}"
A,11,2,11.33,732759,146552.0,0,8386485027,"{""unc_cha_core_snp.evict_one"": 482761, ""unc_cha_core_snp.evict_gtone"": 249998, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 8386485027, ""unc_cha_tor_inserts.ia_drd"": 4131163102}"
A,11,3,11.28,1240249,248050.0,0,8308177729,"{""unc_cha_core_snp.evict_one"": 817475, ""unc_cha_core_snp.evict_gtone"": 422774, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 8308177729, ""unc_cha_tor_inserts.ia_drd"": 4148351419}"
