cell,trial,victim_node,aggressor_node,victim_wss_mb,llc_capacity_mb,aggressor_region_gb_per_core,aggressor_cores,agg_bw_gbps,agg_progress_bw_gbps_untrusted,cycles_per_load,tsc_hz,latency_ns,l2_hit,l3_hit,l3_miss,l3_miss_fraction,longest_lat_cache_miss,sf_evict,cha_cxl_drd,cxl_flits_valid,imc_cas_rd,victim_numa_n0,victim_numa_n2,aggressor_numa_n0,aggressor_numa_n2,victim_numa_sample,aggressor_numa_sample
QC,8,2,-1,32,60,1,0,0.0,0,76.964,1899981414,40.51,1654145,224859954,8259,3.7e-05,60358,288,0,3612,404,0,1,0,0,7c39c8800000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,9,2,-1,32,60,1,0,0.0,0,76.987,1899982737,40.52,1676878,224807164,8562,3.8e-05,58214,40,0,2794,393,0,1,0,0,751be7200000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,10,2,-1,32,60,1,0,0.0,0,77.037,1899978750,40.55,1680317,224658877,7744,3.4e-05,46450,46,0,2487,392,0,1,0,0,7926cf200000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,11,2,-1,32,60,1,0,0.0,0,77.041,1899980752,40.55,1655721,224605368,9188,4.1e-05,49793,78,0,2758,396,0,1,0,0,76c092600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,12,2,-1,32,60,1,0,0.0,0,77.009,1899982454,40.53,1682915,224645549,7554,3.4e-05,39696,22,0,2713,392,0,1,0,0,7a548aa00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,13,2,-1,32,60,1,0,0.0,0,77.038,1899982260,40.55,1659160,224685239,9213,4.1e-05,48596,59,0,2235,392,0,1,0,0,7ade9f200000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,14,2,-1,32,60,1,0,0.0,0,77.065,1899981190,40.56,1658487,224636335,14195,6.3e-05,75923,64,0,2822,396,0,1,0,0,72fa3c600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,15,2,-1,32,60,1,0,0.0,0,77.053,1899979462,40.55,1662612,224723499,8439,3.8e-05,50255,27,0,3334,393,0,1,0,0,790378e00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,16,2,-1,32,60,1,0,0.0,0,77.043,1899977086,40.55,1669941,224517795,7904,3.5e-05,47875,40,0,2896,396,0,1,0,0,77a8db600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,17,2,-1,32,60,1,0,0.0,0,77.036,1899980531,40.55,1671869,224695485,11834,5.3e-05,65182,112,0,3266,400,0,1,0,0,738a02400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
