condition,n_aggressor_cores,sf_bypass,wss_bytes,trial,victim_cycles_per_load,victim_total_loads,sf_evictions_per_sec,sf_evict_total,sf_victim_per_sec,llc_victims_m_per_sec,l3_misses_per_sec,l2_hit_rate,mc_queue_occ,aggregate_bw_gbps,pmu_sec
Q,0,0,33554432,16,81.43,343851200,20520.6,220214,0.0,17206.0,7060.3,0.9841,3609270.7,0.0,10.73
Q,0,0,33554432,17,81.437,343822848,16018.2,171896,0.0,12737.2,7621.3,0.9829,3180081.9,0.0,10.73
Q,0,0,33554432,18,81.448,343776224,17140.0,183940,0.0,13113.6,7688.4,0.9828,3217699.6,0.0,10.73
Q,0,0,33554432,19,81.425,343872128,15925.0,170890,0.0,11519.0,6924.6,0.9845,2974721.3,0.0,10.73
Q,0,0,33554432,20,81.417,343905568,17083.2,183321,0.0,14315.9,7034.0,0.9842,3322382.4,0.0,10.73
Q,0,0,33554432,21,81.443,343797088,17561.8,188459,0.0,12756.2,7499.9,0.9832,3319187.7,0.0,10.73
Q,0,0,33554432,22,81.441,343802944,12334.1,132362,0.0,11721.2,6433.4,0.9856,3044046.2,0.0,10.73
Q,0,0,33554432,23,81.43,343850816,53338.9,572386,0.0,44613.8,6387.7,0.9857,6418004.2,0.0,10.73
Q,0,0,33554432,24,81.424,343873824,18494.9,198469,0.0,14941.5,6300.1,0.9858,3412320.6,0.0,10.73
Q,0,0,33554432,25,81.451,343764736,23643.7,253733,0.0,21364.5,7290.5,0.9836,3895798.6,0.0,10.73
Q,0,0,33554432,26,81.438,343816672,15828.9,169863,0.0,11867.0,7100.6,0.984,3063278.6,0.0,10.73
Q,0,0,33554432,27,81.44,343807712,15742.2,168939,0.0,13012.7,6895.0,0.9845,3118719.0,0.0,10.73
Q,0,0,33554432,28,81.427,343864544,13812.1,148219,0.0,11059.8,6665.3,0.985,2981207.7,0.0,10.73
Q,0,0,33554432,29,81.457,343737280,16485.9,176916,0.0,14028.0,7469.7,0.9832,3208089.8,0.0,10.73
R16,16,0,33554432,0,81.637,342978880,42360.5,454676,0.0,46879.8,40833.6,0.9137,11120996.1,0.0,10.73
R16,16,0,33554432,1,81.576,343235296,23478.1,251930,0.0,28174.9,35342.8,0.9238,5629705.2,0.0,10.73
R16,16,0,33554432,2,81.577,343230624,13983.3,150041,0.0,21478.7,35013.9,0.9248,4550223.1,0.0,10.73
R16,16,0,33554432,3,81.57,343262688,16619.1,178324,0.0,24286.0,34910.4,0.9247,4988814.5,0.0,10.73
R16,16,0,33554432,4,81.569,343267552,18178.0,195050,0.0,24494.3,34607.5,0.9255,4876574.7,0.0,10.73
R16,16,0,33554432,5,81.572,343253696,9711.6,104207,0.0,17050.7,34465.9,0.9256,4111537.7,0.0,10.73
R16,16,0,33554432,6,81.576,343236896,16570.2,177795,0.0,24702.1,34757.7,0.9251,4926823.9,0.0,10.73
R16,16,0,33554432,7,81.576,343238496,10358.5,111148,0.0,17576.0,34402.8,0.926,4136618.5,0.0,10.73
R16,16,0,33554432,8,81.579,343226240,11749.6,126074,0.0,21479.3,34366.0,0.926,4432904.2,0.0,10.73
R16,16,0,33554432,9,81.573,343246880,13076.7,140310,0.0,23555.0,34599.0,0.9257,4550436.1,0.0,10.73
R16,16,0,33554432,10,81.57,343259200,8873.8,95215,0.0,16455.7,34431.8,0.9259,4011639.2,0.0,10.73
