condition,n_aggressor_cores,pf_disabled,wss_bytes,trial,victim_cycles_per_load,victim_total_loads,sf_evictions_per_sec,sf_evict_total,sf_victim_per_sec,llc_victims_m_per_sec,l3_misses_per_sec,l2_hit_rate,mc_queue_occ,aggregate_bw_gbps,pmu_sec
R16,16,1,393216,22,18.197,1538691776,180965.8,1920668,0.0,103212.0,17646.1,0.9999,23160532.3,0.0,10.61
R16,16,1,393216,23,18.189,1539410848,119073.3,1263746,0.0,100118.0,17572.6,0.9999,21625460.2,0.0,10.61
R16,16,1,393216,24,18.197,1538748128,184191.3,1954876,0.0,106254.2,17441.0,0.9999,23826818.2,0.0,10.61
R16,16,1,393216,25,18.205,1538031200,248126.0,2633497,0.0,115611.1,17239.6,0.9999,25503390.0,0.0,10.61
R16,16,1,393216,26,18.2,1538467904,242537.3,2574146,0.0,112398.0,17677.6,0.9999,24825210.4,0.0,10.61
R16,16,1,393216,27,18.188,1539497824,151024.4,1602904,0.0,106103.9,17865.1,0.9999,22764531.1,0.0,10.61
R16,16,1,393216,28,18.194,1538965600,227195.5,2411382,0.0,112280.2,17758.2,0.9999,24567956.9,0.0,10.61
R16,16,1,393216,29,18.193,1539026080,347303.9,3686087,0.0,154859.6,17762.9,0.9999,30419169.4,0.0,10.61
R24,24,1,393216,0,18.252,1534036096,758239.2,8048369,0.0,352764.3,45719.2,0.9997,2414803881.9,0.0,10.61
R24,24,1,393216,1,18.255,1533797792,624400.6,6627621,0.0,338688.8,45715.2,0.9997,2457738924.2,0.0,10.61
R24,24,1,393216,2,18.258,1533599616,602668.9,6396962,0.0,335482.6,47465.9,0.9996,2481981627.9,0.0,10.61
R24,24,1,393216,3,18.253,1533953120,606434.1,6436952,0.0,333722.9,46625.5,0.9997,2483627341.7,0.0,10.61
R24,24,1,393216,4,18.251,1534177216,634868.0,6738752,0.0,341334.2,45948.7,0.9997,2484693163.2,0.0,10.61
R24,24,1,393216,5,18.248,1534396608,634483.4,6734697,0.0,340692.7,44110.7,0.9997,2484935722.8,0.0,10.61
R24,24,1,393216,6,18.249,1534311392,524193.9,5564010,0.0,332122.0,47158.2,0.9997,2481979253.7,0.0,10.61
R24,24,1,393216,7,18.248,1534384160,508646.5,5398909,0.0,329046.0,47806.4,0.9996,2482183753.0,0.0,10.61
R24,24,1,393216,8,18.252,1534103328,635945.4,6750157,0.0,337660.5,44899.9,0.9997,2484970729.6,0.0,10.61
R24,24,1,393216,9,18.248,1534448544,623060.4,6613455,0.0,339770.9,46341.7,0.9997,2484046139.2,0.0,10.61
R24,24,1,393216,10,18.244,1534778720,645158.2,6847961,0.0,335740.6,47060.4,0.9997,2484768200.7,0.0,10.61
R24,24,1,393216,11,18.245,1534648352,512974.8,5444945,0.0,327002.8,45828.4,0.9997,2481706985.8,0.0,10.61
R24,24,1,393216,12,18.255,1533817632,506257.0,5373523,0.0,328377.8,46987.3,0.9997,2482071951.8,0.0,10.61
R24,24,1,393216,13,18.249,1534354944,688267.6,7305513,0.0,342516.8,46076.7,0.9997,2486679304.5,0.0,10.61
R24,24,1,393216,14,18.255,1533834752,643748.2,6833063,0.0,339711.4,48213.3,0.9996,2485966733.7,0.0,10.61
R24,24,1,393216,15,18.254,1533911072,592095.5,6284726,0.0,333595.0,47686.7,0.9996,2483796657.2,0.0,10.61
R24,24,1,393216,16,18.25,1534192192,511454.5,5428809,0.0,324303.2,46611.2,0.9997,2481776643.8,0.0,10.61
