condition,n_aggressor_cores,trial,victim_cycles_per_load,victim_total_loads,aggregate_bw_gbps,agg_reported_bw,sf_evictions_per_sec,sf_evict_total,llc_victims_per_sec,l3_misses_per_sec,l2_hits_per_sec,l2_hit_rate,mc_queue_occ,tor_drd_occ
A,4,17,293.59,9536992,0.0,4.18,43122.4,465603,0.0,7628599.6,553576.5,0.0677,4059250073.8,97958263301.8
A,4,18,293.63,9535648,0.0,4.18,45187.1,487870,0.0,7627327.9,550995.6,0.0674,4059843998.5,97968771920.6
A,4,19,294.31,9513792,0.0,4.18,46815.2,505382,0.0,7635553.2,552464.6,0.0675,4059522937.0,97960666463.6
A,4,20,293.57,9537632,0.0,4.18,42626.4,460263,0.0,7628046.6,552450.8,0.0675,4058838440.1,97968821585.7
A,4,21,293.67,9534528,0.0,4.18,44142.4,476621,0.0,7626964.1,554112.1,0.0677,4058117656.4,97935142137.5
A,4,22,293.47,9540736,0.0,4.18,42042.6,453920,0.0,7630587.7,551728.8,0.0674,4058481328.6,97937554929.6
A,4,23,294.14,9519040,0.0,4.18,46218.8,499019,0.0,7637640.2,549911.2,0.0672,4059722582.6,97982102876.2
A,4,24,294.09,9520768,0.0,4.18,51378.7,554647,0.0,7637603.9,550693.4,0.0673,4061139930.5,98000825066.2
A,4,25,293.81,9529856,0.0,4.18,43144.5,465835,0.0,7625611.8,552922.0,0.0676,4058276672.7,97936211925.9
A,4,26,294.01,9523456,0.0,4.18,43368.0,468175,0.0,7629905.1,553076.2,0.0676,4060019031.1,97981020609.2
A,4,27,293.55,9538176,0.0,4.18,41627.3,449441,0.0,7631023.0,552397.9,0.0675,4058355383.4,97938848651.9
A,4,28,293.86,9528320,0.0,4.18,45132.2,487289,0.0,7631496.4,551546.9,0.0674,4058560454.9,97952312550.5
A,4,29,294.23,9516384,0.0,4.18,44291.1,478142,0.0,7638413.1,548327.6,0.067,4058941216.3,97967255480.3
B,4,0,239.12,11709760,0.0,4.08,38981.7,420693,0.0,7424881.2,540306.3,0.0678,4009517278.8,220265337275.2
B,4,1,236.08,11860416,0.0,4.09,37354.2,403206,0.0,7390151.3,542821.4,0.0684,4007463071.0,220189002992.4
B,4,2,237.07,11810688,0.0,4.08,39875.7,430398,0.0,7396908.4,549934.9,0.0692,4008248358.1,220294009434.7
B,4,3,234.76,11927136,0.0,4.09,38167.0,411908,0.0,7394574.6,545585.7,0.0687,4008564217.7,220207201515.2
B,4,4,239.15,11707872,0.0,4.08,38742.0,418191,0.0,7407158.4,549567.3,0.0691,4008774454.5,220315728258.5
B,4,5,242.0,11570016,0.0,4.08,40115.0,433889,0.0,7397265.8,549199.4,0.0691,4000361269.8,219898904160.8
B,4,6,237.14,11807200,0.0,4.08,41091.6,443569,0.0,7402114.9,552255.7,0.0694,4007836689.6,220294009524.8
B,4,7,236.01,11864000,0.0,4.08,42750.6,461429,0.0,7391604.5,551307.1,0.0694,4008863947.8,220308362880.3
B,4,8,236.0,11864192,0.0,4.08,38132.1,411536,0.0,7398261.9,548773.3,0.0691,4009116840.1,220263726321.6
B,4,9,235.28,11900800,0.0,4.08,40073.5,432591,0.0,7386567.0,548184.7,0.0691,4007018662.9,220254903844.9
B,4,10,239.16,11707296,0.0,4.09,38202.0,412367,0.0,7407207.0,549571.1,0.0691,4008807076.8,220443264353.1
B,4,11,237.9,11769760,0.0,4.08,39105.9,422058,0.0,7403214.1,552240.6,0.0694,4008793087.2,220312594133.8
B,4,12,235.36,11896448,0.0,4.08,42037.7,453683,0.0,7394417.9,551356.5,0.0694,4009993908.6,220311233882.1
B,4,13,234.78,11926080,0.0,4.09,39195.0,423049,0.0,7388061.2,548424.6,0.0691,4008016293.8,220225338933.7
B,4,14,236.27,11850464,0.0,4.08,39163.4,422663,0.0,7396654.6,551118.3,0.0693,4009449389.9,220432805064.4
B,4,15,235.94,11867520,0.0,4.08,36867.6,397961,0.0,7392333.3,550619.4,0.0693,4008258842.1,220289209822.8
